RED,IR
110000,78652
110042,78622
110066,78628
110055,78723
110139,78712
110143,78685
110093,78627
109969,78581
109908,78564
109893,78534
109949,78562
109944,78579
109926,78539
109890,78484
109854,78488
109811,78497
109836,78497
109877,78580
109914,78578
109958,78593
110094,78596
109877,78588
109888,78557
109950,78577
109943,78608
109985,78655
110040,78707
110096,78701
110104,78648
110045,78718
110136,78700
110135,78739
110212,78803
110256,78748
110292,78708
110107,78631
110078,78632
110042,78627
110027,78623
110046,78648
110062,78677
110032,78529
109877,78524
109848,78525
109850,78534
109840,78549
109928,78570
109986,78616
109980,78565
109753,78412
109673,78427
109651,78389
109671,78403
109762,78396
109731,78417
109812,78452
109692,78430
109822,78506
109938,78521
109920,78569
110003,78592
110064,78577
110088,78598
109997,78498
109927,78479
109935,78540
109906,78502
109943,78529
109942,78565
110064,78569
109909,78455
109867,78400
109810,78419
109774,78417
109787,78396
109714,78319
109359,78047
109236,77922
108683,77639
108680,77485
108532,77367
108162,77465
108468,77479
108827,77647
109185,78033
109499,78243
109842,78451
109896,78427
109912,78352
109710,78278
109631,78272
109687,78263
109615,78152
109363,78006
109206,77896
109280,78012
109485,78119
109595,78210
109724,78287
109838,78349
109686,78205
109653,78197
109491,78096
109404,78067
109381,78030
109406,78043
109329,78053
109365,77946
108910,77634
108845,77673
108939,77617
108840,77596
108569,77463
108574,77377
108632,77367
108685,77278
108686,77399
108945,77521
109101,77578
109242,77653
109330,77743
109307,77559
109139,77510
109075,77508
109108,77507
109106,77520
109200,77547
109217,77499
109166,77592
109186,77581
109166,77516
109060,77454
109051,77446
109047,77504
109040,77343
108864,77176
108634,77052
108578,77057
108464,76892
108540,76967
108788,77083
108706,77115
108885,77251
108932,77036
108996,77303
109136,77382
109225,77310
109048,77217
108757,76988
108710,77110
109052,77273
109196,77316
109050,77014
108600,76690
108335,76450
107811,76117
107393,76023
107666,76087
107874,76373
107835,76335
107430,75919
107164,75586
105991,75004
106853,75551
106799,75574
106743,75387
107069,75731
107350,75917
107461,76065
107762,76275
108269,76700
108213,76579
107914,76226
107638,75999
107380,75706
107155,75438
106508,74998
106338,74796
106801,75671
107501,76111
108154,76555
108284,76560
108271,76543
108274,76692
108325,76655
108438,76694
108556,76807
108651,76928
108752,76795
108351,76481
107749,75904
107422,75510
106885,75139
106690,74983
106494,74741
106360,74729
106509,75080
107254,75766
108139,76581
108449,76719
108613,76648
108651,76747
108845,76820
108741,76795
108816,76858
108943,77033
109108,77180
109137,77130
109094,77096
109132,77111
109056,76979
108995,77005
109107,77110
109131,77073
109273,77377
109540,77628
110093,77993
110129,78143
110323,78226
110431,78273
110541,78428
110643,78422
110688,78473
110674,78478
110474,78307
110546,78297
110488,78256
110502,78280
110637,78386
110699,78482
110748,78407
110619,78477
110654,78484
110830,78520
110907,78590
110945,78646
111029,78618
110854,78595
110871,78591
110889,78653
111003,78680
111110,78737
111145,78664
110935,78572
110929,78638
111003,78604
110998,78651
110981,78670
111059,78605
110884,78539
110874,78534
110895,78528
110887,78547
110931,78641
110979,78499
110778,78470
110836,78510
110899,78534
110932,78582
111040,78581
111116,78514
110882,78512
110873,78515
111024,78525
111017,78587
111050,78613
111110,78656
111181,78608
110915,78492
110916,78473
110912,78495
111001,78522
111063,78584
111049,78583
111101,78603
111175,78716
111285,78596
111026,78526
111097,78574
111146,78584
111199,78645
111227,78643
111342,78679
111330,78757
111404,78826
111397,78623
111184,78617
111183,78625
111292,78630
111228,78653
111338,78696
111394,78786
111456,78747
111471,78710
111169,78546
111269,78554
111310,78568
111229,78579
111348,78642
111350,78675
111443,78664
111481,78610
111122,78502
111197,78508
111167,78478
111077,78452
111101,78447
111077,78464
110951,78231
110694,78259
110660,78318
110818,78313
110715,78321
110757,78376
110809,78358
110634,78454
110761,78527
110832,78586
110851,78703
111020,78752
110812,78718
110773,78753
110914,78810
110912,78836
110932,78898
111027,78872
110692,78855
110777,78894
110896,78917
110850,78974
110938,78994
111029,79042
110715,78974
110744,78974
110813,79028
110804,79058
110918,79086
110970,79069
110691,79006
110781,79127
110853,79178
110879,79176
111002,79195
111041,79154
110745,79147
110802,79160
110851,79135
110809,79227
110947,79297
110976,79176
110717,79175
110735,79215
110830,79238
110843,79249
110931,79243
111007,79289
110687,79273
110721,79210
110829,79262
110756,79250
110904,79322
110939,79320
110638,79176
110643,79274
110788,79277
110765,79266
110833,79352
110908,79345
110702,79290
110749,79308
110838,79301
110805,79398
110891,79428
110972,79418
110693,79334
110684,79326
110766,79364
110759,79367
110840,79391
110910,79459
110797,79352
110631,79341
110701,79371
110759,79385
110786,79396
110822,79451
110931,79439
110812,79402
110607,79379
110661,79369
110688,79376
110696,79415
110820,79417
110838,79462
110880,79399
110653,79382
110636,79408
110735,79424
110708,79434
110770,79465
110932,79479
111003,79541
111018,79454
110701,79465
110742,79502
110810,79499
110749,79491
110800,79508
110929,79526
110977,79548
111075,79490
110760,79530
110740,79519
110810,79478
110755,79493
110727,79476
110902,79526
110911,79518
110852,79409
110629,79413
110732,79460
110750,79436
110746,79471
110764,79468
110881,79506
110905,79458
110671,79480
110722,79466
110801,79473
110741,79492
110857,79558
110937,79583
111030,79603
111092,79605
110789,79554
110782,79487
110880,79532
110800,79548
110878,79596
110957,79589
111030,79622
111051,79615
111082,79647
